,Manufacturer,Model,Project Count,Usage Count,Min Unit Cost,Max Unit Cost,Average Unit Cost,Min Unit Price,Max Unit Price,Average Unit Price,Min Unit Labor Hours,Max Unit Labor Hours,Average Unit Labor Hours
Equipment,SNAP AV,WB-100-PS-6,138,337,5.95,8.19,6.17,5.95,18.67,13.31,0,0.25,0.25
Equipment,SNAP AV,WB-100-VPS-6,6,6,34.95,45.95,42.28,72.94,104.95,85.95,0.25,0.25,0.25
Equipment,SNAP AV,WB-11-LIGHT,1,1,95.95,95.95,95.95,178.95,178.95,178.95,0.5,0.5,0.5
Equipment,SNAP AV,WB-200-2,2,2,24.95,29.95,27.45,59.95,71.95,65.95,0,0.25,0.13
Equipment,SNAP AV,WB-200-8PS,2,2,19.95,19.95,19.95,59.95,59.95,59.95,0.25,0.25,0.25
Equipment,SNAP AV,WB-200VB-CE-6,1,3,62.95,62.95,62.95,150.95,150.95,150.95,0.5,0.5,0.5
Equipment,SNAP AV,WB-250-IPW-2,4,16,107.96,107.96,107.96,116.09,199.95,169.68,0.5,0.5,0.5
Equipment,SNAP AV,WB-300-IP-3,94,273,139.95,297.95,144.37,148.95,313.96,274.87,0,0.5,0.5
Equipment,SNAP AV,WB-300VB-IP-5,53,119,0,206.36,176.71,0,411.4,326.61,0.5,1,0.5
Equipment,SNAP AV,WB-300VB-IP-5 (DO NOT ORDER),19,50,0,0,0,0,0,0,0,1,0.14
Equipment,SNAP AV,WB-700-IPV-12,4,4,342.34,342.34,342.34,722.15,722.15,722.15,0.5,0.5,0.5
Equipment,SNAP AV,WB-800-IPVM-6,11,22,242.96,242.96,242.96,269.96,449.95,407.88,0.5,0.5,0.5
Equipment,SNAP AV,WB-800VPS-IPVM-12,6,9,367.95,367.95,367.95,525.5,749.95,725.01,0.5,0.5,0.5
Equipment,SNAP AV,WB-800VPS-IPVM-18,7,7,459.95,459.95,459.95,707.62,899.95,845,0.5,0.5,0.5
Equipment,SNAP AV,WB-OVRC-UPS-1100-1,15,15,408.95,422.56,410.76,469.51,863.95,773.11,1,1,1
Equipment,SNAP AV,WB-OVRC-UPS-1500-1,6,6,510.95,510.95,510.95,672.3,999.95,860.79,1,1,1
Equipment,SNAP AV,WB-OVRC-UPS-2000-1,8,8,612.95,633.86,615.56,943,1229.95,1151.58,0.5,1,0.88
Wire,SNAP AV,WB-PWR-360-6FT-BLK,38,81,10.95,14.27,11.15,13.69,29.95,27.8,0,0.25,0.24
Wire,SNAP AV,WB-PWR-EXT-10FT-BLK,60,96,12.95,43.95,13.94,13.63,48.35,35.25,0.25,0.25,0.25
Wire,SNAP AV,WB-PWR-EXT360-15FT,51,94,20.95,22.46,20.97,22.05,54.72,44.97,0.25,0.25,0.25
Wire,SNAP AV,WB-PWR-EXT360-3FT,60,147,8.95,33.02,10.99,9.94,36.69,24.9,0,0.25,0.25
Wire,SNAP AV,WB-PWR-EXT360-6FT,101,231,10.95,14.27,11.01,12.17,39.63,28.67,0,0.25,0.25
Wire,SNAP AV,WB-PWR-EXT-6FT-BLK,1,1,9.95,9.95,9.95,29.95,29.95,29.95,0.25,0.25,0.25
Equipment,SNAP AV,WP-DOOR-FLUSH-20,1,1,22.95,22.95,22.95,42.95,42.95,42.95,0.25,0.25,0.25
Equipment,SNAP AV,WP-DOOR-FLUSH-28,1,1,24.95,24.95,24.95,39.95,39.95,39.95,0.25,0.25,0.25
Equipment,SNAP AV,WP-DOOR-HINGE-40,143,661,49.95,56.69,50.31,39.95,104.35,76.47,0,0.25,0.25
Equipment,SNAP AV,WP-MOD-RJ45-TEL1X12,16,16,21.95,21.95,21.95,21.95,65.95,60.45,0,3,0.75
Equipment,SNAP AV,WP-MOD-RJ45-TELEP16,5,6,27.95,27.95,27.95,72.95,72.95,72.95,0.5,0.5,0.5
Equipment,SNAP AV,WP-ONE-DOOR-28,1,1,69.95,69.95,69.95,139.95,139.95,139.95,0.25,0.25,0.25
Equipment,SNAP AV,WP-ONE-ENCL-20,13,41,56.95,56.95,56.95,59.95,134.95,110.05,0.5,0.5,0.5
Equipment,SNAP AV,WP-ONE-ENCL-28,1,1,89.95,89.95,89.95,179.95,179.95,179.95,0.5,0.5,0.5
Equipment,SNAP AV,WP-SW-ENCL-20,2,3,29.95,34.94,31.61,49.95,58.95,52.95,0.5,0.5,0.5
Equipment,SNAP AV,WP-SW-ENCL-28,3,4,34.95,39.08,35.98,64.95,74.69,67.39,0.5,0.5,0.5
Equipment,SNAP AV,WP-SW-ENCL-40,143,660,49.95,56.69,50.31,49.95,115.95,82.69,0,8,0.51
Equipment,SONANCE,12-50,61,77,690,690,690,726.32,2240,1235.9,0,2,0.99
Equipment,SONANCE,2-100,2,2,385,385,385,385,700,542.5,1,1,1
Speaker,SONANCE,5/8'' GYP MP AS  DISCREET SQUARE,2,10,100,100,100,166.67,200,173.33,0.5,0.5,0.5
Speaker,SONANCE,AS38RS,4,96,150,155,152.86,150,450,431.25,0,0.5,0.35
Speaker,SONANCE,AS68RS,2,10,245,245,245,450,544.44,525.56,0.5,0.5,0.5
Equipment,SONANCE,ASBPC3RS,6,22,75,75,75,75,150,143.18,0,0.25,0.02
Equipment,SONANCE,BPS6,1,2,425,425,425,850,850,850,0.5,0.5,0.5
Speaker,SONANCE,BPS6 TL,2,3,550,550,550,1100,1100,1100,0.5,0.5,0.5
Equipment,SONANCE,BPS6 TL SLOT CONNECTOR,2,2,300,300,300,500,500,500,0.25,0.25,0.25
Equipment,SONANCE,BPS8,1,1,550,550,550,1100,1100,1100,1,1,1
Equipment,SONANCE,CM660 METAL ROUGH-IN BRACKET,1,8,11.5,11.5,11.5,19.17,19.17,19.17,0.25,0.25,0.25
Equipment,SONANCE,D8 (BLACK),19,28,750,750,750,1363.64,1500,1495.13,0.5,0.5,0.5
Equipment,SONANCE,DSP 2-150 MKII,6,7,450,450,450,692.31,900,870.33,0.5,1,0.93
Equipment,SONANCE,DSP 2-750 MKII,5,5,900,900,900,1275,1500,1455,0.5,1.5,1
Equipment,SONANCE,DSP 8-130 MKII,46,114,1375,1375,1375,1527.78,2750,2655.1,1.5,3,1.91
Equipment,SONANCE,FIRE-RATED LISTED DEEP BACKCAN,4,41,50,50,50,76.1,100,80.77,0,0,0
Speaker,SONANCE,I10,2,3,500,500,500,1000,1000,1000,0.5,1,0.83
Speaker,SONANCE,i8,1,2,375,375,375,750,750,750,0.25,0.5,0.38
Speaker,SONANCE,LARGE ROUND ACOUSTIC ENCLOSURE,2,3,110,110,110,220,220,220,0,0.25,0.08
Speaker,SONANCE,LARGE ROUND FLEX BRACKET,5,42,6.65,6.65,6.65,10.23,13.5,12.1,0.25,0.5,0.3
Speaker,SONANCE,LARGE ROUND RETROFIT ENCLOSURE,4,14,27.5,27.5,27.5,55,55,55,0,0.25,0.14
Equipment,SONANCE,LS12T SUB,3,15,1000,1000,1000,1522.07,1522.07,1522.07,1,1,1
Speaker,SONANCE,LS4T SAT,4,173,175,175,175,266.36,350,267.33,0.5,0.5,0.5
Speaker,SONANCE,MARINER 54 (BLACK),49,164,77.5,77.5,77.5,103.33,207.5,169.63,0.5,1,0.54
Speaker,SONANCE,MARINER 54 SST (BLACK),2,2,145,145,145,325,325,325,0,0.5,0.25
Speaker,SONANCE,MARINER 64 (BLACK),30,109,112.5,112.5,112.5,204.55,262.5,248.4,0.5,1,0.54
Speaker,SONANCE,MARINER 64 (WHITE),1,2,112.5,112.5,112.5,250,250,250,0.5,0.5,0.5
Speaker,SONANCE,MARINER 64 SST (BLACK),5,6,200,200,200,450,450,450,0.5,1,0.58
Speaker,SONANCE,MARINER 66 (BLACK),2,6,145,145,145,325,465,371.67,0.5,1,0.67
Speaker,SONANCE,MEDIUM RECTANGLE FLEXBRACKET,6,80,6.65,6.65,6.65,10.23,25,23.6,0.17,0.5,0.47
Equipment,SONANCE,MEDIUM RECTANGLE RETROFIT ENCLOSURE,1,3,11,11,11,22,22,22,0.25,0.25,0.25
